timestamp,ECG_Raw
1533165,-6796
1533269,-3768
1533325,-792
1533378,-3997
1533432,-2931
1533448,-2686
1533501,-3457
1533512,-2251
1533533,-1526
1533586,-1870
1533690,-3197
1533746,485
1533800,-13
1533853,-214
1533868,-1095
1533920,-1058
1533931,-447
1533953,-458
1534005,-563
1534016,-176
1534038,153
1534090,388
1534101,495
1534122,104
1534174,-508
1534185,-1078
1534207,-860
1534259,-689
1534272,-875
1534292,-975
1534344,-1065
1534357,-960
1534378,-608
1534431,-399
1534441,-1156
1534487,-1293
1534540,-16
1534546,-561
1534599,-1463
1534610,-2439
1534631,-3016
1534684,-3831
1534695,-4520
1534717,-4475
1534868,-4819
1534925,-5934
1534979,-5752
1535032,-6093
1535050,-4107
1535103,-3353
1535114,-2570
1535135,-2002
1535188,-1613
1535198,-2065
1535220,-2044
1535273,-1521
1535284,-1222
1535305,-1813
1535358,-2020
1535369,-610
1535390,-320
1535443,-736
1535454,-1251
1535475,-918
1535528,-853
1535539,-1716
1535560,-1772
1535613,-1517
1535624,-1534
1535646,-1615
1535748,-1315
1535803,-346
1535813,579
1535865,535
1535876,654
1535995,832
1536098,-152
1536153,643
1536207,1952
1536213,1697
1536230,1765
1536282,2034
1536293,1835
1536315,1454
1536367,1544
1536380,2774
1536401,2741
1536453,2192
1536464,2220
1536486,3014
1536538,3528
1536549,3336
1536570,3655
1536622,4556
1536635,6126
1536656,6334
1536708,6536
1536719,7454
1536741,7723
1536793,7673
1536804,7015
1536826,6411
1536877,5575
1536890,3783
1536910,3061
1536962,2252
1536975,25
1537013,-903
1537163,-1353
1537268,-769
1537323,-1400
1537329,-1467
1537382,-1409
1537391,-1432
1537413,-1372
1537466,-1095
1537477,-83
1537498,229
1537550,224
1537561,-28
1537583,21
1537635,37
1537646,-451
1537667,-547
1537719,-335
1537732,-47
1537753,-309
1537805,-553
1537816,-599
1537838,-788
1537890,-1082
1537902,-990
1537924,-659
1537975,-469
1537987,-443
1538009,-283
1538058,-18
1538072,365
1538094,326
1538144,137
1538156,-84
1538179,158
1538327,470
1538381,1360
1538464,937
1538516,1546
1538567,1247
1538575,1298
1538596,1188
1538646,1115
1538658,1364
1538680,1440
1538729,1348
1538744,1237
1538765,1313
1538814,1314
1538829,1009
1538850,902
1538899,880
1538914,1137
1538935,1371
1538984,1467
1539000,1072
1539021,1069
1539070,1399
1539085,1656
1539106,1241
1539155,934
1539169,1348
1539190,1410
1539239,1138
1539255,833
1539276,940
1539324,895
1539339,498
1539458,555
1539550,967
1539600,659
1539609,649
1539655,601
1539674,370
1539712,229
1539758,254
1539780,748
1539825,372
1539843,116
1539864,547
1539910,817
1539928,24
1539949,-330
1539995,-255
1540012,-234
1540034,-767
1540080,-1256
1540097,-1173
1540119,-1047
1540164,-1158
1540183,-1204
1540205,-911
1540249,-716
1540268,-1099
1540290,-1330
1540334,-1358
1540353,-1304
1540375,-1536
1540419,-1870
1540438,-2058
1540460,-1855
1540602,-1712
1540650,-1530
1540695,-1231
1540709,-1403
1540753,-1801
1540774,-1307
1540795,-829
1540838,-831
1540858,-1332
1540897,-961
1540939,-385
1540944,-584
1540964,-1074
1541007,-1061
1541029,71
1541050,-19
1541092,-724
1541113,-1306
1541134,-762
1541176,-456
1541181,-860
1541200,-1614
1541221,-1974
1541263,-1704
1541284,-1240
1541305,-1544
1541347,-1696
1541352,-1433
1541370,-1015
1541392,-842
1541433,-959
1541438,-1072
1541456,-948
1541478,-610
1541519,-261
1541524,-87
1541543,-185
1541564,-495
1541605,-770
1541610,-733
1541628,-382
1541742,-83
1541821,-173
1541864,-472
1541879,-159
1541916,-398
1541957,-625
1541963,-130
1541984,143
1542025,87
1542030,-130
1542050,-162
1542071,106
1542112,439
1542117,509
1542135,190
1542156,-310
1542197,-655
1542202,-670
1542222,-466
1542243,-268
1542284,-216
1542289,-282
1542307,-372
1542329,-406
1542370,-334
1542375,-156
1542393,27
1542416,20
1542456,-290
1542461,-683
1542480,-767
1542501,-453
1542542,-110
1542547,-218
1542565,-753
1542587,-1201
1542627,-1117
1542632,-674
1542652,-466
1542674,-788
1542714,-1322
1542769,-1552
1542909,-911
1542954,-785
1542995,-814
1543008,-1367
1543048,-1277
1543053,-981
1543071,-812
1543093,-961
1543133,-1313
1543138,-1551
1543158,-1487
1543180,-1214
1543220,-984
1543225,-975
1543243,-1126
1543265,-1217
1543305,-1083
1543310,-797
1543330,-599
1543352,-678
1543392,-921
1543397,-1036
1543416,-884
1543437,-629
1543478,-570
1543483,-752
1543502,-893
1543524,-707
1543564,-300
1543569,-82
1543587,-276
1543609,-641
1543649,-768
1543654,-546
1543674,-272
1543712,-274
1543752,-498
1543760,-460
1543781,-182
1543821,-49
1543826,-111
1543845,-162
1543945,-78
1544086,-800
1544166,-705
1544208,-397
1544249,-915
1544261,-836
1544283,-519
1544323,-255
1544328,-138
1544348,-110
1544369,-113
